v1,v2,v3,v4,_class
c,N/A,c,N/A,TB2
c,False,c,N/A,TB2
c,True,c,N/A,TB2
c,N/A,c,yes,TB2
c,True,c,yes,TB2
c,False,c,yes,TB2
c,N/A,c,no,TB2
c,False,c,no,TB2
c,True,c,no,TB2
c,N/A,b,N/A,TB2
c,True,b,N/A,TB2
c,False,b,N/A,TB2
c,N/A,b,no,TB2
c,False,b,no,TB2
c,True,b,no,TB2
c,N/A,b,yes,TB2
c,True,b,yes,TB2
c,False,b,yes,TB2
a,N/A,b,N/A,TB1
a,False,b,N/A,TB1
a,True,b,N/A,TB1
a,N/A,b,no,TB1
a,True,b,no,TB1
a,False,b,no,TB1
a,N/A,b,yes,TB1
a,False,b,yes,TB1
a,True,b,yes,TB1
a,N/A,b,         ,TB2
a,True,b,       _    ,TB2
a,False,b,  ,TB2
